TrakPro Version 4.70 ASCII Data File

Model:,DustTrak II
Model Number:,8532
Serial Number:,8532105203
Test ID:,009
Test Abbreviation:,TEST 3 LONCO_009
Start Date:,28-07-2024
Start Time:,00:31:33
Duration (dd:hh:mm:ss):,0:00:03:00
Log Interval (mm:ss):,00:01
Number of points:,188
Notes:,ERROR: FILTER, 

Statistics,Channel:,AEROSOL
,Units:,mg/m^3
,Average:,0,091
,Minimum:,0,077
,Time of Minimum:,00:34:29
,Date of Minimum:,28-07-2024
,Maximum:,0,104
,Time of Maximum:,00:31:57
,Date of Maximum:,28-07-2024

Calibration,Sensor:,AEROSOL
,Cal. date,29-05-2014

Date,Time,AEROSOL
28-07-2024,20:29:24,0,047
28-07-2024,20:29:25,0,045
28-07-2024,20:29:26,0,046
28-07-2024,20:29:27,0,047
28-07-2024,20:29:28,0,046
28-07-2024,20:29:29,0,045
28-07-2024,20:29:30,0,044
28-07-2024,20:29:31,0,044
28-07-2024,20:29:32,0,044
28-07-2024,20:29:33,0,044
28-07-2024,20:29:34,0,044
28-07-2024,20:29:35,0,045
28-07-2024,20:29:36,0,047
28-07-2024,20:29:37,0,049
28-07-2024,20:29:38,0,050
28-07-2024,20:29:39,0,048
28-07-2024,20:29:40,0,047
28-07-2024,20:29:41,0,044
28-07-2024,20:29:42,0,046
28-07-2024,20:29:43,0,047
28-07-2024,20:29:44,0,049
28-07-2024,20:29:45,0,046
28-07-2024,20:29:46,0,045
28-07-2024,20:29:47,0,046
28-07-2024,20:29:48,0,046
28-07-2024,20:29:49,0,047
28-07-2024,20:29:50,0,045
28-07-2024,20:29:51,0,045
28-07-2024,20:29:52,0,046
28-07-2024,20:29:53,0,045
28-07-2024,20:29:54,0,043
28-07-2024,20:29:55,0,048
28-07-2024,20:29:56,0,046
28-07-2024,20:29:57,0,045
28-07-2024,20:29:58,0,046
28-07-2024,20:29:59,0,047
28-07-2024,20:30:00,0,048
28-07-2024,20:30:01,0,048
28-07-2024,20:30:02,0,048
28-07-2024,20:30:03,0,046
28-07-2024,20:30:04,0,044
28-07-2024,20:30:05,0,045
28-07-2024,20:30:06,0,045
28-07-2024,20:30:07,0,045
28-07-2024,20:30:08,0,046
28-07-2024,20:30:09,0,044
28-07-2024,20:30:10,0,042
28-07-2024,20:30:11,0,043
28-07-2024,20:30:12,0,047
28-07-2024,20:30:13,0,044
28-07-2024,20:30:14,0,043
28-07-2024,20:30:15,0,046
28-07-2024,20:30:16,0,046
28-07-2024,20:30:17,0,044
28-07-2024,20:30:18,0,045
28-07-2024,20:30:19,0,047
28-07-2024,20:30:20,0,048
28-07-2024,20:30:21,0,044
28-07-2024,20:30:22,0,043
28-07-2024,20:30:23,0,044
28-07-2024,20:30:24,0,045
28-07-2024,20:30:25,0,048
28-07-2024,20:30:26,0,050
28-07-2024,20:30:27,0,045
28-07-2024,20:30:28,0,043
28-07-2024,20:30:29,0,044
28-07-2024,20:30:30,0,046
28-07-2024,20:30:31,0,048
28-07-2024,20:30:32,0,047
28-07-2024,20:30:33,0,044
28-07-2024,20:30:34,0,046
28-07-2024,20:30:35,0,048
28-07-2024,20:30:36,0,047
28-07-2024,20:30:37,0,048
28-07-2024,20:30:38,0,050
28-07-2024,20:30:39,0,049
28-07-2024,20:30:40,0,045
28-07-2024,20:30:41,0,045

Model:,DustTrak II
Model Number:,8532
Serial Number:,8532105203
Test ID:,015
Test Abbreviation:,TEST 3 LONCO_015
Start Date:,28-07-2024
Start Time:,20:58:39
